BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3
Big Bazaar,Retailers - other,67-69 Wokingham Road,Reading,
Big Bazaar,Retailers - supermarkets/hypermarkets,80 Tean House Havergate Way,Reading,
Big Bazaar,Retailers - supermarkets/hypermarkets,221 Shinfield Road,Reading,
Big Bazaar Halal Meat,Retailers - other,67-69 Wokingham Road,Reading,
Big Oaks,Caring Premises,Mortimer St Mary's C.e. Junior School The Street,Mortimer,Reading
Bilbo’s Travelling Tavern,Mobile caterer,55 Brooksby Road,Reading,
Bill's,Restaurant/Cafe/Canteen,Chain Street,Reading,Berkshire
Bina Continental Stores,Retailers - other,306 Oxford Road,Reading,
Bina Tandoori,Restaurant/Cafe/Canteen,21 Prospect Street,Caversham,Reading
Birch Bread,Retailers - other,14 - 16 Reading Road,Pangbourne,Reading
Birrells Bar,Pub/bar/nightclub,,46 Redding Road,
Biryani Boyzz,Takeaway/sandwich shop,63 Wokingham Road,Reading,
Biryani Boyzz,Restaurant/Cafe/Canteen,109 Oxford Road,Reading,
Biryani Mama Bar & Restaurant,Restaurant/Cafe/Canteen,64-65 St Marys Butts,Reading,
Biryanish,Restaurant/Cafe/Canteen,92 Oxford Road,Reading,
BJ's Luxury Bingo Club,Pub/bar/nightclub,Gillette Way,Reading,
BKRY,Retailers - other,47 Church Street,Caversham,Reading
Black Sheep Coffee,Restaurant/Cafe/Canteen,60 Broad Street,Reading,
Black Sheep Coffee,Takeaway/sandwich shop,1-3 Queen Victoria Street,Reading,
Blacks,Retailers - other,Chain Street,Reading,Berkshire
Blagrave Nursery,Caring Premises,Recreation Road,Tilehurst,Reading
Blip,Restaurant/Cafe/Canteen,8 Park Lane Tilehurst,Reading,
Blip (Reading Central),Takeaway/sandwich shop,Unit 49 Milford Road Reading,Reading,
Blue Collar Corner,Pub/bar/nightclub,15 Hosier Street,Reading,
Blueskys Trading,Retailers - other,27 Rose Kiln Lane,Reading,
Bo Wah,Takeaway/sandwich shop,85 Northumberland Avenue,Reading,
Boba Bloom,Restaurant/Cafe/Canteen,91 Erleigh Road,Reading,
Bodrum Corner Cafe,Restaurant/Cafe/Canteen,248a Shinfield Road,Reading,
Bodrum Kebab Mobile Van - Mr Nihat Umdu,Mobile caterer,223 Shinfield Road,Reading,
Boltons Rest Home,Caring Premises,4 College Road,Reading,
Bombay Brothers,Restaurant/Cafe/Canteen,King Street,Reading,
Bombay Punjabi,Takeaway/sandwich shop,100 Oxford Road,Reading,
Boom Battle Bar,Pub/bar/nightclub,12-14 Station Road,Reading,
Boost Juice Bars at The Oracle,Takeaway/sandwich shop,Bridge Street,Reading,
Boots UK Ltd,Retailers - other,47-48 Broad Street,Reading,
Boots UK Ltd,Retailers - other,Boots UK Ltd Unit 1C,Roaring Meg Retail Park,London Road
Boots UK Ltd,Retailers - other,45 Church Street,Caversham,Reading
Boots UK Ltd,Retailers - other,Unit 1 Savacentre Bath Road,Calcot,Reading
Boots UK Ltd at Reading Rail Station Concourse,Retailers - other,Station Approach,Reading,
Boots UK Ltd at The Oracle,Retailers - other,Bridge Street,Reading,Berkshire
Boston Central Racing Pigeon,Pub/bar/nightclub,Boston Central Racing Pigeon Club,91 Field Street,
Boswells Cafe at Broad St Mall,Restaurant/Cafe/Canteen,Broad Street,Reading,
Bow Guest House,Hotel/bed & breakfast/guest house,25 Russell Street,Reading,
Bowl Central,Restaurant/Cafe/Canteen,65 Caversham Road,Reading,
BP Calcot,Retailers - other,Calcot Filling Station Bath Road,Calcot,Reading
BP Leander Service Station,Retailers - other,182-184 Henley Road,Reading,Berkshire
BP Oil UK Ltd Eastbound,Retailers - other,Shop Area Filling Station,Burghfield,Reading
BP Oil UK Ltd Westbound,Retailers - other,Shop Area Filling Station,Burghfield,Reading
BP Reading Service Station,Retailers - other,69 London Road,Reading,
BP Triangle Garage,Retailers - other,,267 Reading Road,Winnersh
BP Weldale Connect,Retailers - other,324 Wokingham Road,Reading,
Bradfield College,Restaurant/Cafe/Canteen,Bradfield College Common Hill,Bradfield,Reading
Bradfield College - Faulkners Kitchen,Restaurant/Cafe/Canteen,Bradfield College Common Hill,Bradfield,Reading
Bradfield College - Stunt Pavilion,Restaurant/Cafe/Canteen,Bradfield College Common Hill,Bradfield,Reading
Bradfield Social Club,Pub/bar/nightclub,Bradfield Social Club Union Road,Bradfield,Reading
