BusinessName,BusinessType,AddressLine1,AddressLine2,AddressLine3
Go Beanies,Caring Premises,Westwood Farm Junior School Fullbrook Crescent,Tilehurst,Reading
Go Beanies Play & Learn (Palmer Academy),Other catering premises,70 Northumberland Avenue,Reading,
Go Beanies Play & Learn (Civitas Academy),Other catering premises,Civitas Academy 90a Great Knolly's Street,Reading,
Go Beanies Play & Learn (Green Park),Other catering premises,Green Park Village Academy 2 Flagstaff Road,Reading,
Go Fresh Fish,Retailers - other,232 Shinfield Road,Reading,
Go Sing Chinese Takeaway,Takeaway/sandwich shop,30 Prospect Street Caversham,Reading,
Golden Bridge,Takeaway/sandwich shop,173 Caversham Road,Reading,
Golden Chef Chinese Takeaway,Takeaway/sandwich shop,72 Briants Avenue,Caversham,Reading
Golden Rice,Takeaway/sandwich shop,31 Whitley Street,Reading,
Goldilocks Nursery,Caring Premises,77 School Road,Tilehurst,Reading
Good Old Days Hong Kong,Takeaway/sandwich shop,66 George Street,Reading,
Good One Supermarket,Retailers - other,236 Northumberland Avenue,Reading,
Gooi Nara,Restaurant/Cafe/Canteen,39 Whitley Street,Reading,
Gordon Ramsay Street Burger,Other catering premises,Unit R17B Riverside Level,The Oracle,Reading
Goring & Streatley Golf Club,Pub/bar/nightclub,Goring And Streatley Golf Club Rectory Road,Streatley,Reading
Goring County Primary School,School/college/university,Wallingford Road,Goring,Reading
Goring Diner,Takeaway/sandwich shop,11 High Street,Goring,Reading
Goring Food & Wine,Retailers - other,14 High Street,Goring,Reading
Goring Social Club,Pub/bar/nightclub,High Street,Goring,Reading
Goring Thames Sailing Club,Other catering premises,Bridle Way,Goring,Reading
Goring Village Butchers,Retailers - other,5 The Arcade High Street,Goring,Reading
Gosbrook Local,Retailers - other,228 Gosbrook Road,Caversham,Reading
Gourmet Barn,Restaurant/Cafe/Canteen,Field Barn Farm Beenham Hill,Beenham,Reading
Gourmet Eats London,Mobile caterer,272-274 Elgar Road South,Reading,
GPR Food & Wine,Retailers - other,513 Oxford Road,Reading,
Grange Community Centre,Restaurant/Cafe/Canteen,,Grange Community Centre,Redding Road
Grange Pre School,Caring Premises,Circuit Lane,Reading,
Grape Tree,Retailers - other,64 Broad Street Mall,Reading,
Graysons Restaurants At Silverstone Museum,Restaurant/Cafe/Canteen,Silverstone Motor Racing Circuit,Silverstone Road,Biddlesden
Green Bike Food Company,Takeaway/sandwich shop,Gillette Way,Reading,
Greenbroom Farm Shop,Retailers - other,Green Broom Farm,Goring Heath,Reading
Greenfield House Resource Centre,Caring Premises,Greenfield House High View,Calcot,Reading
Greens Of Pangbourne,Retailers - other,10 Whitchurch Road,Pangbourne,Reading
Greenshaw Learning Trust at John Madejski Academy,Other catering premises,125 Hartland Road,Reading,
Greggs,Takeaway/sandwich shop,Motor Fuel Bath Road,Padworth,Reading
Greggs,Takeaway/sandwich shop,162 Bath Road,Reading,
Greggs,Retailers - other,38 Market Place,Reading,
Greggs,Takeaway/sandwich shop,162 Bath Road,Reading,
Greggs,Retailers - other,10 Queen Victoria Street,Reading,
Greggs,Takeaway/sandwich shop,203-205 Shinfield Road,Reading,
Greggs - Eastbound,Takeaway/sandwich shop,Motorway Service Area,Burghfield,Reading
Greggs - Westbound,Takeaway/sandwich shop,Motorway Service Area,Burghfield,Reading
Greggs at Broad St Mall,Retailers - other,Broad Street,Reading,
Greggs Plc,Retailers - other,117 Reading Road,Yateley,Hampshire
Greggs PLC at Sainsburys,Retailers - other,Savacentre Bath Road,Calcot,Reading
Gressenhall Reading Room,Other catering premises,Reading Room The Green,,Gressenhall
Grill Masters,Mobile caterer,26 Abingdon Drive Caversham,Reading,
Grilla Kitchen,Restaurant/Cafe/Canteen,41 Whitley Street Reading,Reading,
Grim's Dyke Hotel,Hotel/bed & breakfast/guest house,Grimsdyke Hotel,Old Redding,
Grip UK,Restaurant/Cafe/Canteen,Stadium Way,Tilehurst,Reading
Grocery Asia,Retailers - supermarkets/hypermarkets,19-20 Meadway Precinct,Reading,
Grosvenor Casino,Restaurant/Cafe/Canteen,Rose Kiln Lane,Reading,Berkshire
Grosvenor Casino,Restaurant/Cafe/Canteen,1 Queens Road,Reading,
Gulab Dining,Other catering premises,130-134 Wokingham Road,Reading,
Gun Street Garden,Pub/bar/nightclub,5-6 Gun Street,Reading,
Gurungs,Retailers - other,191-193 London Road,Reading,
GX Club Brightons,School/college/university,,Westquarter And Redding Cricket Club Pavilion,Sunnyside Road
Gymfinity Kids Reading,Restaurant/Cafe/Canteen,Gillette Way,Reading,
H.K. Stores,Retailers - other,47 Hemdean Road,Caversham,Reading
H20 Watersports Hi5 Ski Lake,Mobile caterer,The Reading Lake Hotel Pingewood,Burghfield,Reading
Hala Lebanese,Restaurant/Cafe/Canteen,133 Wokingham Road,Reading,
Halfords Ltd,Retailers - other,,612 Reading Road,Winnersh
Hao Chi Oriental,Takeaway/sandwich shop,115 Wokingham Road,Reading,
Happy Faces Playgroup,Caring Premises,Sherfield On Loddon Village Hall,Reading Road,Sherfield-on-Loddon
Happy Health Nutrition Club,Restaurant/Cafe/Canteen,7 Harris Arcade,Reading,
Happy Panda Café,Restaurant/Cafe/Canteen,80 Christchurch Road,Reading,
Harper’s Candylicious Sweets,Importers/Exporters,82 Belmont Road,Reading,
Harput Kebab,Takeaway/sandwich shop,139 Oxford Road,Reading,
Harrison Catering at The Willink School,School/college/university,The Willink School School Lane,Burghfield Common,Reading
Harrison Catering at Westwood Farm Infant School,School/college/university,Westwood Farm Infant School Fullbrook Crescent,Tilehurst,Reading
Harrison Catering Services at Blessed Hugh Faringdon School,School/college/university,Fawley Road,Reading,
Harrison Catering Services at Long Lane Primary School,School/college/university,Long Lane Primary School Long Lane,Tilehurst,Reading
Harrison Catering Services at The Heights Primary School,School/college/university,129 Upper Woodcote Road,Caversham,Reading
Harrison Catering Services Limited at Denefield School,School/college/university,Denefield School Long Lane,Tilehurst,Reading
Harrison Catering Services Limited at The Wren School,School/college/university,61-63 Bath Road,Reading,
Harrogate Rugby Union Football Club,Other catering premises,Harrogate Rugby Union Football Club Rudding Lane,,
Harry's Coffee Shop,Restaurant/Cafe/Canteen,Glendale House Reading Road,Burghfield Common,Reading
Harwood Golf Club,Restaurant/Cafe/Canteen,,Roading Brook Road,Bolton
Hatch Gate Inn,Pub/bar/nightclub,Hatch Gate Inn The Hatch,Burghfield,Reading
Haute Dolci,Restaurant/Cafe/Canteen,Unit 15 A Riverside The Oracle,Reading,
Hawkeye Pizza,Takeaway/sandwich shop,186 Reading Road South,Fleet,Hampshire
Haydock Reading Rooms,Pub/bar/nightclub,Haydock Reading Rooms And Debating Society Social Club,86-88 Church Road,Haydock
Haywards Farm School,School/college/university,Haywards Farm School Station Road,Theale,Reading
Heatherside Infant School-Stir Food,School/college/university,Heatherside Infant School,Reading Road South,Fleet
Heatherside Junior School-Stir Food,School/college/university,Heatherside Junior School,Reading Road South,Fleet
Helmdon Community Larder,Retailers - other,The Reading Room,20 Church Street,Helmdon
Hempen Cooperative,Retailers - other,Path Hill Farm Path Hill,Goring Heath,Reading
Henley Business School Cafe,Restaurant/Cafe/Canteen,University Of Reading,Whiteknights Road,Earley
Henley food & wine,Retailers - other,49 Reading Road,Henley-On-Thames,Oxon
Henley Hockey Club,Restaurant/Cafe/Canteen,353 Reading Road,Henley-On-Thames,Oxon
Henley Mini Market,Retailers - other,11 Reading Road,Henley-On-Thames,Oxon
Henley Post Office Convenience Store,Retailers - other,22 Reading Road,Henley-On-Thames,Oxon
Hennerton Golf Club,Restaurant/Cafe/Canteen,,Crazies Hill Road Wargrave,Reading
Herbal Green at Broad St Mall,Retailers - other,Broad Street,Reading,
Herbies Pizza/Tasty Bun,Takeaway/sandwich shop,18 Hildens Drive,Tilehurst,Reading
Heron Manor Care Home,Caring Premises,Reading Road North,Fleet,
Hevs Premier,Retailers - other,733 Oxford Road,Reading,
Hewad Store,Retailers - other,774 Oxford Road,Reading,
Hexham Road Pantry,Other catering premises,Hexham Road Community Centre 1a Bamburg Close,Reading,
Hey Coffee,Restaurant/Cafe/Canteen,Liebenrood Road,Reading,
High Rise Fish Bar,Takeaway/sandwich shop,3 The Colonnade Overdown Road,Tilehurst,Reading
Hill End House Stays,Hotel/bed & breakfast/guest house,Hill End House,Warren Row Road,Warren Row
Hill Farm Shop Ltd,Retailers - other,Hill Farm Shop Mans Hill,Burghfield Common,Reading
Hillier Nurseries Ltd,Restaurant/Cafe/Canteen,Rosebourne Station Road,Aldermaston,Reading
Hilton Reading,Hotel/bed & breakfast/guest house,Drake Way,Reading,
Himalayan Hot Spot,Restaurant/Cafe/Canteen,1 School Road,Tilehurst,Reading
Hinds Head,Hotel/bed & breakfast/guest house,Hinds Head Hotel Wasing Lane,Aldermaston,Reading
Hlth Kitchen Ltd,Manufacturers/packers,Harrogate Rugby Union Football Club Rudding Lane,,
HMV at The Oracle,Retailers - other,Bridge Street,Reading,
Holbeach Community Cafe,Restaurant/Cafe/Canteen,Church Street The Reading Rooms,Holbeach,Spalding
Holbeach Community Larder,Retailers - other,The Reading Rooms Church Street,Holbeach,Spalding
Holiday Inn Reading South,Hotel/bed & breakfast/guest house,500 Basingstoke Road,Reading,
Holiday Inn Reading West,Hotel/bed & breakfast/guest house,Holiday Inn Reading West Bath Road,Padworth,Reading
Holland & Barrett at Broad St Mall,Retailers - other,Broad Street,Reading,
Holland & Barrett at The Oracle,Retailers - other,Bridge Street,Reading,
Holland and Barrett at Tesco Extra,Retailers - other,Napier Road,Reading,
Hollywood Bowl,Restaurant/Cafe/Canteen,Riverside Level,Oracle Shopping Centre,Reading
Holroyd Howe at Abbey Gardens,School/college/university,12 Christchurch Gardens,Reading,
Holroyd Howe at Abbey Junior School,School/college/university,30 Christchurch Road,Reading,IGHT
Holroyd Howe at Elstree School,School/college/university,Elstree School Woolhampton Hill,Upper Woolhampton,Reading
Holroyd Howe at The Abbey Senior School,School/college/university,17 Kendrick Road,Reading,Unit R50 Bridge Street
Home Bargains,Retailers - supermarkets/hypermarkets,Units 4 & 5 Brunel Retail Park,Reading,
Home Bargains at Reading Link Retail Park,Retailers - other,Rose Kiln Lane,Reading,Berkshire
Home Cooking,Takeaway/sandwich shop,2 Highgrove Street,Reading,
Home Group Limited,Caring Premises,1 Flagstaff Road,Reading,
Homesense,Retailers - other,Forbury Road,Reading,Berkshire
Homie's,Takeaway/sandwich shop,2 Cholsey House Moulsford Mews,Reading,
Honest Burgers,Restaurant/Cafe/Canteen,Unit 2 1-5 King Street,Reading,
Honesty Group,Restaurant/Cafe/Canteen,2 Napier Road,Reading,
Honey & Ghee,Retailers - other,232 Shinfield Road,Reading,
Honey Bee Day Care at Tilia House,Caring Premises,London Road,Reading,
Hong Kong City,Takeaway/sandwich shop,50 Erleigh Road,Reading,
Hoops and Jockeys,Other catering premises,ARC RACING LEISURE GROUP,Uttoxeter Racecourse,Wood Lane
Hope & Bear,Pub/bar/nightclub,153 London Road,Reading,Berkshire
Hot Gossip,Restaurant/Cafe/Canteen,15 Reading Road,Henley-On-Thames,Oxon
Hot Stuff,Takeaway/sandwich shop,421 Oxford Road,Reading,
Hot Wok,Takeaway/sandwich shop,23A Wood Lane,Sonning Common,Reading
Hotel Chocolat at The Oracle,Retailers - other,Bridge Street,Reading,
House of Flavours,Restaurant/Cafe/Canteen,34-36 Kings Road,Reading,
Hungry Birds,Takeaway/sandwich shop,256 Kentwood Hill,Tilehurst,Reading
Ibis Reading Centre,Restaurant/Cafe/Canteen,25A Friar Street,Reading,
Iceland,Retailers - supermarkets/hypermarkets,39 Church Street,Caversham,Reading
Iceland,Retailers - supermarkets/hypermarkets,47 Oxford Road,Reading,
ICMA Centre Cafe Bar 2 University Of Reading,Restaurant/Cafe/Canteen,Whiteknights Campus PO Box 242,Reading,Berkshire
ICollege Alternative Education,School/college/university,22 High View,Calcot,Reading
IFoods UK,Other catering premises,Jigsaw Racing Services,Unit G,Harlow House
IKEA Ltd,Retailers - other,Ikea Store Pincents Kiln,Calcot,Reading
illy Coffee Shop,Restaurant/Cafe/Canteen,Illy Coffee Shop,Silverstone Motor Racing Circuit,Silverstone Circuit
Impact Food Group @ Aldryngton Primary,School/college/university,,Silverdale Road Earley,Reading
Impact Food Group @ Lambs Lane Primary School,School/college/university,,Back Lane,Spencer Wood
Impact Food Group @ Little Reddings Primary School,School/college/university,Little Reddings Primary School,Reddings Avenue,Bushey
Impact Food Group @ Loddon Primary School,School/college/university,,Hillside Rd,Earley
Impact Food Group @ Shinfield St Mary's C of E Junior School,School/college/university,,Chestnut Cres,Shinfield
Impact Food Group @ St Dominic Savio Catholic Primary School,School/college/university,,Western Ave,Woodley
Impact Food Group @ St Edward's Prep,School/college/university,64 Tilehurst Road,Reading,
Impact Food Group t/a Dolce at Aldermaston Primary School,School/college/university,Aldermaston C. E. Primary School Wasing Lane,Aldermaston,Reading
In2care at Purley Cof E Primary School,Caring Premises,Purley Church Of England Primary School Purley Village,Purley On Thames,Reading
In2Care at Streatley C of E Primary School,Caring Premises,Streatley Church Of England Voluntary Controlled School The Coombe,Streatley,Reading
Indian Community Centre,Restaurant/Cafe/Canteen,2 Norris Road,Reading,
Indian Corner/ Kebab Corner,Takeaway/sandwich shop,745 Oxford Road,Reading,
Intoku Bowls Sushi Bar,Restaurant/Cafe/Canteen,30a Chain Street,Reading,
IQ Health,Distributors/Transporters,15 Emmens Close,Checkendon,Reading
Iro Sushi,Takeaway/sandwich shop,155 Friar Street,Reading,
Iron House Scotland,Retailers - other,,Grange Community Centre,Redding Road
Island Bohemian Bowls Club,Pub/bar/nightclub,Thames Side,Reading,
ISS Facility Services Education at Beechwood and Arbour Vale Schools,School/college/university,BEECHWOOD SECONDAY SCHOOL LONG READINGS LANE,,SLOUGH
ISS Mediclean at Prospect Park Hospital,Caring Premises,Honey End Lane,Reading,
Istanbul Food Centre,Retailers - other,282-284 Oxford Road,Reading,
Istanbul Grill,Takeaway/sandwich shop,77 Wokingham Road,Reading,
Istanbul Mangal,Takeaway/sandwich shop,15 The Triangle Tilehurst,Reading,
Itsu,Restaurant/Cafe/Canteen,31 Queen Victoria Street,Reading,
J Guris,Retailers - other,53 Wokingham Road,Reading,
J's Food & Wine,Retailers - other,102 Royal Avenue,Calcot,Reading
Jadacooksss,Takeaway/sandwich shop,211 Caversham Road,Reading,
Jaffa Street / Puree,Takeaway/sandwich shop,Unit B1 Great Knollys Street,Reading,
Jamaica Blue Coffee Shop South Block at Royal Berkshire Hospital,Restaurant/Cafe/Canteen,Craven Road,Reading,
Java Cafe Ltd,Restaurant/Cafe/Canteen,,398 Reading Road,Winnersh
Jays News (Tilehurst) Ltd,Retailers - other,27 Hildens Drive,Tilehurst,Reading
Jazz Cafe at Madejski Stadium,Restaurant/Cafe/Canteen,Shooters Way,Reading,
JCS Gourmet Kitchen,Pub/bar/nightclub,69 Westwood Glen,Reading,
Jessica Food & Wine,Retailers - other,18 Farnham Drive,Caversham,Reading
Jessicas Coffee Truck,Mobile caterer,Unit 10 Church Farm Reading Road,Woodcote,Reading
JFC,Takeaway/sandwich shop,54 Wensley Road,Reading,
JieLi Restaurant,Other catering premises,19-23 Kings Street,Reading,
Jigsaw Creative Care Services,Caring Premises,77 Russell Street,Reading,
JK Stores,Retailers - other,435 Basingstoke Road,Reading,
Joe & The Juice UK,Restaurant/Cafe/Canteen,U02 Bridge Street The Oracle Centre,Reading,
John Lewis Partnership Plc,Restaurant/Cafe/Canteen,108-113 Broad Street,Reading,
JoLi,Restaurant/Cafe/Canteen,JoLi The Old Reading Room Main Street Longniddry East Lothian,,
Jollibee,Other catering premises,81 Broad Street,Reading,
Jollof Isle,Takeaway/sandwich shop,24 Goldsmid Road,Reading,
Journey to the West,Manufacturers/packers,15 Boulton Road,Reading,
Jubilee Day Nursery,Caring Premises,Paddock View Rectory Road,Padworth Common,Reading
Junior Adventures Group at Battle Primary Academy,School/college/university,Battle Primary Academy Cranbury Road,Reading,
Junior Adventures Group at Goring CofE Primary School,School/college/university,Goring Cofe Primary School Wallingford Road,Goring,Reading
Junior Adventures Group at Micklands Primary School,School/college/university,Micklands Road,Caversham,Reading
Junior Adventures Group Moorlands Primary,School/college/university,Church End Lane,Tilehurst,Reading
Junior Adventures Group Parklane Primary,School/college/university,130 School Road,Tilehurst,Reading
Junior Adventures Group Wilson Primary,School/college/university,Wilson Road,Reading,
Juniper House School,School/college/university,Juniper House School Englefield Road,Theale,Reading
Just Fresh,Retailers - other,16 West Street,Reading,
Just Momo,Other catering premises,4 Kings Road,Reading,
K B Superstores,Retailers - other,337-339 Oxford Road,Reading,
Kamal's Kitchen,Restaurant/Cafe/Canteen,141 Caversham Road,Reading,
Karak Chaii Reading,Restaurant/Cafe/Canteen,254 Oxford Road,Reading,
Kashmir Halal Butchers at Exotic Superstore,Retailers - other,730 Oxford Road,Reading,
Kathmandu Cuisine,Takeaway/sandwich shop,Honey End Lane,Reading,
Kaya Fast Food,Restaurant/Cafe/Canteen,40 - 42 High Street,Theale,Reading
Kebabist,Mobile caterer,Pitch 1 Meadway Precinct Honey End Lane,Reading,
Kennet Corner Store,Retailers - other,101a Cholmeley Road,Reading,
Kennet Valley Club,Pub/bar/nightclub,Holybrook Community Centre Carters Rise,Calcot,Reading
Kenya Butchers,Retailers - other,20 West Street,Reading,
KFC,Takeaway/sandwich shop,207 Shinfield Road,Reading,
KFC,Takeaway/sandwich shop,73-74 Broad Street,Reading,
KFC @ Moto Services Westbound,Restaurant/Cafe/Canteen,Motorway Service Area,Burghfield,Reading
KFC at Forbury Retail Park,Takeaway/sandwich shop,Forbury Road,Reading,
KFC at Moto Services Eastbound,Restaurant/Cafe/Canteen,Motorway Service Area,Burghfield,Reading
KFC at Reading Gate Retail Park,Takeaway/sandwich shop,,Reading,
KFC at Reading Retail Park,Takeaway/sandwich shop,Oxford Road,Reading,
KFC Reading Road,Restaurant/Cafe/Canteen,K F C,115 Reading Road,Yateley
Kicking Goat Cider,Distributors/Transporters,Unit A Church Farm Reading Road,Woodcote,Reading
King Wok,Takeaway/sandwich shop,21 High Street,Theale,Reading
Kingdom Coffee,Distributors/Transporters,1 Bridgewater Close,Reading,
Kingdom Family,Retailers - supermarkets/hypermarkets,Unit 55 Milford Road,Reading,
Kingfisher Kindergarten,Caring Premises,Chiltern Edge School Reades Lane,Sonning Common,Reading
Kings academy Prospect,School/college/university,Cockney Hill,Tilehurst,Reading
Kings Chef,Takeaway/sandwich shop,19 London Road,Reading,
Kings Food and Wine,Retailers - other,91-93 Kings Road,Reading,
Kings Grill,Takeaway/sandwich shop,16 Kings Road,Reading,
Kings Road News & Off Licence,Retailers - other,83 Kings Road,Reading,
Kites Kitchen at Sonning Common Primary School,School/college/university,Grove Road,Sonning Common,Reading
Knockhill - The Paddock,Restaurant/Cafe/Canteen,Knockhill Racing Circuit Saline Fife,,
Kobeda Palace,Restaurant/Cafe/Canteen,409 Oxford Road,Reading,
Kokoro,Takeaway/sandwich shop,29 Queen Victoria Street,Reading,
"KOOSA Kids Breakfast, After School and Holiday Club at The Heights Primary School, Caversham",School/college/university,129 Upper Woodcote Road Caversham,Reading,
Krinfio Co. Ltd,Retailers - other,142-143 Friar Street,Reading,
Krispy Kreme,Takeaway/sandwich shop,Station Approach,Reading,
Krispy Kreme Doughnuts at The Oracle,Takeaway/sandwich shop,Bridge Street,Reading,
Kungfu Kitchen,Restaurant/Cafe/Canteen,62 Christchurch Road,Reading,
Kyaneez,Restaurant/Cafe/Canteen,103 Basingstoke Road,Reading,
L2H Seasonings,Manufacturers/packers,Flat 204 Skylark House Drake Way,Reading,
La Baguetterie,Takeaway/sandwich shop,5 The Clock House 22 - 24 High Street,Theale,Reading
La Bella Café,Restaurant/Cafe/Canteen,33 Prospect Street Caversham,Reading,
La Mamaia,Retailers - other,479 Oxford Road,Reading,
Ladbroke Racing Ltd,Restaurant/Cafe/Canteen,Ladbroke Racing Ltd,31 Titchfield Street,Kilmarnock
Laddu Box,Restaurant/Cafe/Canteen,19-23 Kings Walk King Street,Reading,
Laithwaite's Wine,Retailers - other,1 Waterside Drive,Theale,Reading
Lakeside Care Home,Caring Premises,25 Whiteknights Road,Reading,Berkshire
Lakhe,Retailers - other,55 St Marys Butts,Reading,
Las Iguanas at The Oracle,Pub/bar/nightclub,Bridge Street,Reading,
Laura's Cookies,Other catering premises,Unit 3 Paddock Road Caversham,Reading,
Laz Tadim,Takeaway/sandwich shop,,2A Hudson Road,Woodley
Lazaro Store Limited,Retailers - other,7 Whitley Street,Reading,
Le Caffe Aroma @ Westcoast Ltd,Restaurant/Cafe/Canteen,Arrowhead Park Arrowhead Road,Theale,Reading
League of Friends Store Maternity Ward at Royal Berkshire Hospital,Takeaway/sandwich shop,London Road,Reading,
Leander Service Station,Retailers - other,Motor Fuel Bath Road,Padworth,Reading
Lebanese Village Reading,Restaurant/Cafe/Canteen,6 Bridge Street Caversham,Reading,
Lee's Garden,Takeaway/sandwich shop,Honey End Lane,Reading,
Let's Eat Trading Limited T/as The Avenue Deli,Restaurant/Cafe/Canteen,100 Royal Avenue,Calcot,Reading
Library Cafe,Restaurant/Cafe/Canteen,Library Building University Of Reading,Whiteknights,PO Box 219
Lidl,Retailers - supermarkets/hypermarkets,Unit 2 & 6 Reading Retail Park Oxford Road,Reading,
Lidl,Retailers - supermarkets/hypermarkets,565-575 Basingstoke Road,Reading,
Lidl Great Britain Limited,Retailers - supermarkets/hypermarkets,Lidl Bath Road,Calcot,Reading
Lidl Great Britain Ltd,Retailers - supermarkets/hypermarkets,289-291 Oxford Road,Reading,
Life & Space Limited,Mobile caterer,84 Longships way,Reading,
Life Care Corporation,Caring Premises,31 Cressingham Road,Reading,
Lina Tandoori,Takeaway/sandwich shop,16 Whitchurch Road,Pangbourne,Reading
Lincoln Coffee House,Takeaway/sandwich shop,60 Kings Road,Reading,
Lincoln Coffee House,Restaurant/Cafe/Canteen,10-12 King Street,Reading,
Liquor & Vape Shop,Retailers - other,27 School Road,Reading,
Little Acorns,Caring Premises,Moulton Community Centre,Reedings,Moulton
Little Apron,Restaurant/Cafe/Canteen,6 Crown Colonade London Road,Reading,
Little Badgers Pre-School,School/college/university,Armour Hill,Tilehurst,Reading
Little Birches Nursery & Preschool,Caring Premises,Horsepond Road,Gallowstree Common,Reading
Little Dragons Nursery,Caring Premises,57-59 Bath Road,Reading,
Little Gems Day Nursery,Caring Premises,Red Cross Centre 1 Readon Close,,Petersfield
Little Learners Nursery,Caring Premises,Building 196 Whiteknights House University Of Reading,Shinfield Road,Reading
Little Oaks,Caring Premises,Mortimer St. John's C.e. Infant School The Street,Mortimer Common,Reading
Little Petals Day Nursery,Caring Premises,23C Wood Lane,Sonning Common,Reading
Little Tots Montessori Nursery,Caring Premises,59 Prince Of Wales Avenue,Reading,
Local Xpress,Retailers - other,29 Hildens Drive,Tilehurst,Reading
Loddon Brewery,Manufacturers/packers,Dunsden Green Farm Church Lane,Dunsden,Reading
Lois Afro Shop,Retailers - other,273 Oxford Road,Reading,
Lola Lo's,Restaurant/Cafe/Canteen,126 Friar Street,Reading,
Londis,Retailers - other,28 - 30 Reading Road,Pangbourne,Reading
Londis,Retailers - other,286 Gosbrook Road,Caversham,Reading
Londis,Retailers - supermarkets/hypermarkets,526-528 Northumberland Avenue,Reading,
Londis - Leander,Retailers - supermarkets/hypermarkets,182-184 Henley Road,Reading,
Londis Kennet Island,Retailers - other,Whale Avenue,Reading,
Londis Reading Rose Kiln,Retailers - other,Rajan Service Station Rose Kiln Lane,Reading,
Longbridge Mill,Pub/bar/nightclub,The Longbridge Mill,Reading Road,Sherfield-on-Loddon
Loon Tin,Takeaway/sandwich shop,14 West End Road,Mortimer Common,Reading
Love by Lucy and Liam Ltd,Restaurant/Cafe/Canteen,Merlin House Commerce Park Brunel Road,Theale,Reading
Low Moor Club,Pub/bar/nightclub,Low Moor Reading Room And Club,St Pauls Street,Clitheroe
LuvMuffin,Mobile caterer,7 Winton Road,Reading,
Lyndhurst Arms,Pub/bar/nightclub,88 Queens Road,Reading,
Lyndhurst Rest Home,Caring Premises,Lyndhurst Road,Goring,Reading
M & A Convenience Store,Retailers - other,2 Duke Street,Reading,
M & M Food and Wine,Retailers - other,55-57 Wokingham Road,Reading,
M's Smokehouse,Restaurant/Cafe/Canteen,93 Basingstoke Road,Reading,
Mac's Coffee,Restaurant/Cafe/Canteen,33 Castle Street,Reading,
Mac's Deli - Reading,Takeaway/sandwich shop,Blue Collar Corner 15 Hosier Street,Reading,
Mac’s Deli,Restaurant/Cafe/Canteen,22 Theale Lakes Business Park Moulden Way,Sulhamstead,Reading
Mad Hatters Pottery Painting Cafe,Restaurant/Cafe/Canteen,114-116 School Road,Tilehurst,Reading
Madni Halal Meat Reading,Retailers - other,232 Shinfield Road,Reading,
Madoo,Restaurant/Cafe/Canteen,10-12 Duke Street,Reading,
Madras Flavours,Restaurant/Cafe/Canteen,11-13 Kings Road,Reading,
Mai Sushi,Retailers - other,Marks & Spencers 12 Broad Street,Reading,
Maiden Erlegh Chiltern Edge School,School/college/university,Chiltern Edge Secondary School Reades Lane,Sonning Common,Reading
Maiden Erlegh Trust at Hamilton School,School/college/university,135 Bulmershe Road,Reading,
Maiden Erleigh School Reading,School/college/university,81 Crescent Road,Reading,
Majestic Wine,Retailers - other,Caversham Road,Reading,
Majid & Sons,Retailers - other,Basildon Service Station Reading Road,Lower Basildon,Reading
Makan Malaysia UK LLP,Takeaway/sandwich shop,Milford Road,Reading,
Mal'va,Restaurant/Cafe/Canteen,21 Sidmouth Street,Reading,
Malacca,Restaurant/Cafe/Canteen,94 Reading Road,Farnborough,Hampshire
Malaysia Chef,Takeaway/sandwich shop,14 Hildens Drive,Tilehurst,Reading
Malik Brothers Halal Meat at Best Foods,Retailers - other,129-131 Oxford Road,Reading,
Malinka Cash & Carry,Distributors/Transporters,Unit 2 Little Johns Lane,Reading,
Mallu Nest,Takeaway/sandwich shop,124 London Road,Reading,
Malmaison Hotel,Hotel/bed & breakfast/guest house,18-20 Station Road,Reading,Berkshire
Mama Daniela Pizzeria,Restaurant/Cafe/Canteen,521 Oxford Road,Reading,
Mama's Way,Restaurant/Cafe/Canteen,10-12 Duke Street,Reading,
Mamafrika Tropic Food,Retailers - other,385 Oxford Road,Reading,
Mandy’s Food & Wine,Retailers - other,Unit 22 Meadway Shopping Centre Meadway Precinct Honey End Lane,Reading,
Mangiare,Takeaway/sandwich shop,6 Kings Road,Reading,
Manzano's Peri Peri,Restaurant/Cafe/Canteen,41 Oxford Road,Reading,
MAP Food and Wine,Retailers - other,255 London Road,Reading,
Market House,Hotel/bed & breakfast/guest house,1-2 Market Place,Reading,
Marks & Spencer,Retailers - supermarkets/hypermarkets,12 Broad Street,Reading,
Marks & Spencer Simply Foods Eastbound,Retailers - other,Marks & Spencer Foodhall,Burghfield,Reading
Marks & Spencer Simply Foods Level 2 Main Ent Royal Berkshire Hospital,Retailers - other,London Road,Reading,
Marks & Spencer Simply Foods Westbound,Retailers - other,Marks & Spencer Foodhall,Burghfield,Reading
Marks And Spencer,Restaurant/Cafe/Canteen,Marks And Spencer Unit 5,Roaring Meg Retail Park,London Road
Marloe Watch Company,Retailers - other,Blounts Farm Blounts Court Road,Sonning Common,Reading
Marmaris Kebabs,Mobile caterer,169 Caversham Road,Reading,
Marugame,Restaurant/Cafe/Canteen,Unit R2 The Riverside The Oracle,Reading,
Mary Seacole Day Nursery at MAPP Centre,Caring Premises,22-24 Mount Pleasant,Reading,
Mary Stores,Retailers - other,27 St Georges Terrace,Reading,
Masakali,Other catering premises,93-97 Caversham Road,Reading,
Masala Magik,Takeaway/sandwich shop,375 Oxford Road,Reading,
Masonic Hall,Pub/bar/nightclub,,7 Reading Road,Wokingham
